,A375_SKIN,A549_LUNG,HEPG2_LIVER,HT29_LARGE_INTESTINE,MCF7_BREAST,PC3_PROSTATE,YAPC_PANCREAS
POLR2J,136.54,77.9,72.45,107.91,200.2,132.77,107.39
DHX33,23.33,19.29,16.88,12.61,14.71,7.1,8.34
MEOX1,0.09,0,0.02,0.04,0.02,0.05,3.03
THSD7A,0.04,4.31,0.01,0,0,0.25,0.26
LIG3,22.6,23.28,13.15,27.81,11.37,6.06,12.92
RPAP3,44.44,65.02,12.14,23.66,19.88,19.97,34.66
ACSM3,0.65,4.61,63.13,23.51,0.41,1.51,7.26
REXO5,8.75,3.16,4.93,6.01,10.38,2.11,6.57
CIAPIN1,82.76,80.36,51.34,37.3,29.86,25.39,33.54
SPPL2B,21.26,6.96,15.81,55.1,26.91,11.47,18.75
FAM214B,15.84,4.65,1.64,8.47,5.59,5.56,12.34
COPZ2,16.17,15.01,1.11,0.56,4.41,2.25,4.33
PRKAR2B,14.23,2.24,0.03,0.01,4.84,0.23,1.88
MSL3,32.92,31.57,6.09,12.67,8.47,20.1,16.18
CREBBP,17.05,7.56,11.11,15.83,15.33,4.93,22.12
TSPOAP1,0,0.02,0.01,0.82,0.05,1.15,7.18
MPO,0,0,0.01,0.03,0,0,1.9
PON1,0,1.24,0.57,0.64,0,0.04,0.23
GCFC2,10.54,19.41,13.72,7.56,7.17,9,5.67
WDR54,75.29,41.3,8.24,35.79,52.46,22.52,31.03
CROT,6.28,10.04,5.63,6.55,13.02,9.57,16.51
ABCB4,1.11,0,6.16,0.26,0.22,0.04,0.07
KMT2E,17.42,12.48,11.89,25.58,22.89,8.26,22.51
RHBDD2,33.03,44.82,24.46,24.34,72.98,30,83.92
SOX8,2.37,0.06,0.1,0.07,0.1,0.12,0.13
IBTK,17.39,35.67,16.74,14.4,21.4,9.77,27.22
ZNF195,17.23,23.52,11.81,44.33,11.5,19.18,34.63
MYCBP2,17.84,15.12,15.11,25.89,9.85,16.31,18.81
FBXL3,16.83,15.06,8.48,17.94,8.15,13.08,21.5
ITGAL,0.07,0.19,1.71,0.53,0.27,0.15,0.4
PDK2,13.86,9.18,22.43,19.37,15.02,16.87,27.4
ITGA3,115.91,137.91,0.96,54.96,44.2,334.03,244.8
ZFX,8.34,10.55,7.66,8.91,3.43,5.74,8.84
LAMP2,46.82,70.93,65.29,30.81,141.57,69.55,78.86
ITGA2B,0.26,1.11,0.43,0.01,1.21,3.61,0.43
ASB4,0.01,0.2,0.91,0.01,0,0,0.36
GDE1,28.36,62.62,29.2,55.82,34.66,39.15,126.52
REX1BD,59.1,9.75,12.62,33.6,66.3,19.75,37.77
CRLF1,14.25,2.92,218.39,2.15,18.41,4.21,14.8
OSBPL7,7.89,2.84,2.62,11.4,21.65,7.53,14.91
TMEM98,51.99,64.55,127.37,0.33,0.02,46.66,33.96
YBX2,0.05,0.57,0.5,7.14,33.06,0.2,1.12
KRT33A,0,0,0,0,0,0,0
MAP3K14,7.09,42.45,1.85,4.07,2.35,8.77,14.55
ABCC8,0.03,0.6,0,0.06,1.96,0,0.55
CACNG3,0,0.01,0,0,0,0,0
TMEM132A,17.9,33.1,21.5,18.92,83.41,18.42,26.79
AP2B1,69.82,119.81,31.81,103.4,38.96,38.37,169.04
TAC1,6.76,0,0,0.03,0.05,0,0
ZNF263,26.16,23.34,24.93,32.2,23.93,12.28,28.4
CX3CL1,0.72,0.04,72.79,0.34,0.01,0.02,53.57
SPATA20,30,46.33,39.42,14.56,61.33,33.96,60.68
CACNA1G,0.03,4.87,0.02,0.05,0.04,0,0.77
TNFRSF12A,160.3,219.04,53.94,128.88,110.36,270.35,240.08
DLX6,1.01,0.04,4.65,0,0,0.01,1.3
MAP3K9,2.7,2.31,2.07,3.74,5.51,3.87,4.66
RALA,29.16,21.95,15.81,31.2,18.21,27.85,34.47
BAIAP2L1,12.79,47.29,10.24,32.97,9.76,15.06,64.42
KDM7A,2.39,1.31,4.73,1.7,1.95,0.61,1.18
ETV1,22.57,1.16,0.05,2.6,0.07,9.23,12.11
AGK,32.44,30.54,15.85,19.08,19.5,17.66,18.35
ALDH3B1,6.69,34.48,4.6,31.87,1.72,6.73,27.22
TTC22,0.01,0,0,9.13,0.02,2.15,5.77
PHTF2,11.6,17.73,3.66,8.7,16.24,11.43,13.78
CCL26,0.16,6.12,0.13,0,0.06,3.75,0
FARP2,21.94,14.15,15.03,30.24,13.56,7.95,18.01
USH1C,0.04,2.67,0.06,60.54,0.08,0.05,0.33
GGCT,86.66,82.89,42.95,192.17,172.44,76.66,125.04
DBF4,33.87,30.76,15.74,33.04,26.12,20.15,26.4
TBXA2R,1.03,0.46,0.1,0.01,0,1.07,0.11
IFRD1,26.09,54.36,22.9,34.58,24.07,47.84,49.78
LGALS14,0,0,0,0,0,0,0
COX10,18.58,16.57,9.79,9.79,13.07,4.91,5.64
GTF2IRD1,12.72,6.02,13.41,24.46,16.31,11.47,24.52
PAF1,68.23,61.08,31.24,73.44,91.52,35.61,83.65
VPS41,20.3,18.21,11.11,18.17,23.12,13.88,31.39
ARHGAP44,0.9,2.49,1.05,0.32,2.35,0.16,0.68
ELAC2,67.79,80.76,27.41,31.54,62.42,34.8,26.02
SCIN,0.3,0.05,0.03,1.99,0.62,1,52.71
ARSD,6.58,6.72,3.47,13.19,27.93,4.58,24.87
PNPLA4,0.04,12.48,13.78,3.62,2.85,14.79,15.23
MYH13,0.09,0,0.01,0,0,0,0
ADIPOR2,42.55,52.46,34.3,38.83,45.71,16.78,36.5
CDKL3,0.37,2.08,1.17,0.42,1.21,0.8,4.13
UPP2,0,0,0.03,0,0.04,0,0
PRSS21,0.05,0.2,0,0.06,0,0.15,9.26
MARK4,8.85,3.58,13.02,8.18,8.12,3.8,6.62
PROM1,0.49,0.05,7.85,59.98,0.01,0.01,4.76
CCDC124,223.81,71.73,73.59,115.58,150.52,145.92,82.76
CEACAM21,0,0,0,0,0.06,0.08,0
PAFAH1B1,74.89,90.2,17.06,24.1,41.86,21.09,35.12
NOS2,0.1,0.15,0.02,0,0.01,0,0
DNAH9,13.89,0.02,0.01,0.08,0.01,0,0
KIAA0100,62.71,57.62,26.15,72.47,65.72,34.16,78.51
SLC13A2,0.01,0,0.03,0,0,0,0
GAS7,85.61,1.27,0.24,0.11,0.06,0.05,0.5
TRAPPC6A,5.29,13.23,11.78,65.1,100.09,14.31,52.88
MATK,0,0.08,0.1,0.19,8.26,0.03,0.07
CEACAM7,0,0.02,0,0.54,0.02,0,0
CD79B,0.14,0.07,0.12,0.05,0,0.02,1.17
SCN4A,0,0.07,0.03,0,0.01,0.01,0.69
ST7L,15.9,9.9,8.42,16.57,12.33,10.28,7.94
TKTL1,0.35,0,0,0.01,0,0,0
PAX6,0.19,1.26,0.93,0.16,0.13,6.07,3.45
RPUSD1,27.36,14.67,15.76,33.56,29.28,26.48,6.09
RHBDF1,52.61,9.88,3.71,99.72,24.03,16.49,13.86
LUC7L,41.55,46.31,23.02,31.93,35.8,22.9,18.6
CACNA2D2,0.25,0.21,0.05,0.75,0.78,0.6,0.59
BAIAP3,0.53,0.11,2.65,4.23,13.69,3.63,2.46
TSR3,44.67,39.28,27.71,44.06,34.14,41.17,15.13
PIGQ,22.97,11.7,10.5,21.13,27.38,14.69,8.42
CRAMP1,14.34,5.37,5.5,8.54,12.84,4.95,3.56
TEAD3,4.6,2.17,24.07,18.94,9.13,5.55,17.04
SELE,0,0,0.01,0,0.05,0.01,0
DNAJC11,68.2,22.68,43.1,49.93,46.02,42.98,34.48
FMO3,0.08,0,0,0,0,0,0
MYLIP,12.34,2.81,1.88,9.19,50.44,3.45,10.81
NOX1,0.06,0.31,0.03,16.97,0.01,0.02,0.01
E2F2,4.61,1.8,3.33,1.33,4.59,1.35,3.31
PSMB1,350.32,216.68,335.21,328.04,363.88,180.76,308.98
SYN1,0.13,0,0.01,0.04,0.18,0.01,0.08
JARID2,9.92,4.34,8.31,4.67,21.66,3.61,4.33
CDKL5,0.61,3.56,1.43,0.71,0.64,0.93,0.62
CAMK1G,0.02,0.06,0,0,0,0.12,0
CDK11A,56.86,17.53,24.52,53.11,52.43,35,24.32
NADK,48.52,19.43,52.82,68.74,51.68,63.22,56.52
TFAP2B,46.42,0,0,0,0.01,0,0.06
TFAP2D,0,0,0.02,0,0,0,0
DLEC1,0.09,0.02,0.12,0.89,0.17,0.15,0.34
CYTH3,11.24,16.65,2.72,1.4,5.64,12.91,12.77
ADAM22,2.75,0.14,1.41,3.55,1.92,0.41,0.57
SYPL1,59.45,101.98,31.56,101.07,83.16,145.69,159.53
CYB561,42.29,16.22,2.47,50.67,284.92,68.8,94.35
SPAG9,44.69,56.54,24.35,17.45,38.38,44.32,27.85
CELSR3,6.17,2.3,6.29,6.84,3.34,0.96,1.14
AASS,12.21,0.05,9.03,0.16,0.09,0.23,5.18
PLEKHG6,0.89,0.97,8.79,16.68,0.9,3.49,16.27
SS18L2,46.14,19.96,22.46,24.61,16.94,36.56,28.36
MPND,5.91,5.25,11.32,10.16,23.32,7.11,6.78
MGST1,84.29,1006.9,253.84,277.44,384.07,370.72,154.78
CRY1,9.68,17.77,7.66,8.5,7.11,12.79,14.79
PGLYRP1,0.23,0,0,0.68,0.14,0.04,0
NFIX,36.07,0.83,11.9,16.27,1.29,27.22,4.17
ST3GAL1,19.71,4.27,26.2,79.95,24.66,50.51,24.25
MMP25,0.45,0.14,0.05,0.29,0.73,0.12,0.57
IL32,0.4,24.28,263.33,1.64,0.38,11.26,15.37
PKD1,34.91,10.96,16.02,27.75,42.03,13.95,24.69
MAPK8IP2,0.08,1.25,2.04,0.03,1.33,0.89,0.24
MED24,44.31,37.08,53.73,45.56,21.33,34.26,43.6
RHOBTB2,10.16,8.39,3.96,2.32,5.04,4.67,6.48
HEATR5B,9.23,8.28,4.86,6.58,8.08,4.84,8.39
SEC62,41.65,92.15,60.02,66.77,64.25,75.76,80.17
RPS20,2663.3,1677,1320.8,1811.3,1915,507.96,2536.8
CSDE1,289.32,163.27,156.14,239.66,826.58,198.78,164.59
UBE3C,49.38,43.65,19.12,51.34,32.26,34.3,66.08
REV3L,6.62,5.52,8.76,6.05,11.04,2.31,8.39
TENM1,1.05,0,0.01,0.01,0.01,0.06,0.01
PAX7,0,0.16,0,0.03,0,0,0.39
MASP2,0.28,0.21,13.7,0.62,0.34,0.8,0.67
IYD,0,0,0.03,1.33,0.09,0.01,0.06
FAM76A,3.97,3.59,3.3,2.95,3.43,2.79,3.73
TRAF3IP3,3.48,1,0.16,1.37,0.83,1.5,1.95
POMT2,9.95,16.29,5.22,7.2,15.98,20.46,17.57
VTA1,38.63,53.19,35.63,30.79,40.1,25.1,42.22
MLXIPL,0.17,0.87,94.89,1.17,5.51,0.64,4.07
BAZ1B,49.41,46.46,30.38,45.42,35.2,29.79,59.33
RANBP9,18.6,13.72,26.87,23.44,41.2,12.94,19.49
ETV7,0.07,0,0.02,0.05,0.11,0.08,5.84
SPRTN,10.51,11.51,4.25,8.24,8.39,7.42,6.5
EEF1AKNMT,66.05,35.59,15.73,25.76,33.68,64.54,20.54
DYRK4,20.39,24.66,14.7,5.91,3.72,13.89,12.05
ZNF207,165.38,192.62,87.67,177.28,88.89,63.78,182.22
UQCRC1,237.04,185.1,311.71,149.52,157.3,422.14,144.14
STARD3NL,36.9,62.39,20.91,27.5,15.1,33.61,47.87
CD9,185.22,217.7,13.88,207.49,286.05,296.46,765.28
HHATL,0,0,0.03,0,0,0,0
NCAPD2,129.99,72.59,50.83,65.95,32.79,36.28,51.75
IFFO1,16.13,0.83,10.07,0.83,0.1,0.87,0.18
GIPR,0.95,0.46,0.12,3.83,2.24,0.6,3.69
PHF7,6.99,1.13,5.49,1.88,2.65,5.03,2.33
SEMA3G,2.6,0.59,16.82,0.25,0.09,0.13,0.06
NISCH,27.73,8.21,16.04,20.6,16.36,23.96,16.67
STAB1,0.01,0.01,0.1,0.02,0,0.11,0
FUZ,57.28,6.51,0.14,0.45,11.24,4.36,4.33
SLC6A13,0.03,0.28,0.11,0.02,0.02,0,0
IDS,30.42,48.79,3.09,17.23,58.26,26.62,80.23
PRSS3,5.52,5.94,0.05,71.95,0.02,217.8,13.36
ZNF200,13.03,7.25,5.21,5.77,5.29,3.08,12.25
CD4,1.16,0.16,0.85,0.32,0.07,0.06,0.45
LRRC23,9.97,15.36,3.11,2.23,6.63,4.03,3.2
BTK,0.01,0.05,0.01,0.06,0.13,0.07,0.17
HFE,5.87,12.51,2.17,7.01,0.66,0.34,10.1
SCMH1,13.09,7.51,29.88,18.6,5.23,11.31,14.23
FYN,39.12,1.72,36.36,12.24,0.87,7.93,38.95
HIVEP2,2.68,1.48,2.84,2.95,3,3.97,4.44
FMO1,0.01,0,0,0,0.04,0,0
ELOA,60.16,15.51,17.92,24.76,20.9,23.59,17.84
LYPLA2,174.68,24.72,91.77,151.74,64.42,61,60.72
CLCN6,7.83,3.31,12.09,6.06,4.69,3.22,3.94
MRC2,26.41,12.08,0.05,0.52,1.07,11.43,3.16
NME1-NME2,23.86,34.35,37.5,32.16,44.87,26.98,20.52
SLC6A7,0,0,0,0.05,0,0,0.02
TSPAN9,6.68,8.59,19.02,6,4.12,2.96,6.41
BTBD7,5.05,9.25,6.12,7.78,11.98,9.05,15.42
APBA3,8.73,5.63,6.75,7.1,6.23,7.58,10.09
MKS1,14.47,9.22,13.84,11.55,33.05,13.1,18.4
ABHD5,13.32,11.83,2.7,4.75,11.38,23.11,8.63
ANOS1,0,0.02,0.01,0,3.79,2.14,0.08
AKAP8L,40.43,17.25,32.08,31.52,49.29,36.66,38.5
MBTD1,5.41,5.12,9.18,9.12,11.49,4.11,13.4
UTP18,59.14,79.47,52.39,42.75,83.49,53.28,59.69
RNF216,17.15,14.69,13.86,10.15,16.92,9.23,14.68
TTC19,25.24,24.11,13.61,11.73,28.24,14.49,38.99
PTBP1,362.06,187.19,280.72,292.16,230.18,139.19,266.59
DPF1,6.35,1.74,1.87,0.19,2.16,2.49,3.27
SYT7,0.22,0.53,2.42,5.63,12.18,4.24,10.73
LARS2,13.66,8.75,17.1,8.87,6.92,15.07,8.56
PIK3C2A,10.74,16.82,11.54,22.78,12.01,9.86,18.9
PLAUR,36.93,28.17,1.85,25.88,2.81,60.59,15.83
ANLN,74.01,98.13,24.57,33.34,27.58,85.06,111.76
WIZ,21.03,7.29,8.71,10.53,18.08,10.08,15.86
RABGAP1,19.93,15.02,15.01,34.26,38.56,10.62,53.39
DCN,1.22,0.09,0.18,0.1,0.03,0.09,1.24
QPCTL,12.38,5.9,13.49,10.98,10.55,6.28,6.41
PPP5C,84.36,61.18,40.3,114.12,84.46,38.24,41.25
CEP68,4.58,4.5,7.24,2.03,4.65,2.26,4.33
MAP4K3,8.78,17.39,28.71,8.56,12.05,14.13,26.87
ZBTB32,0.4,0.1,0.05,0.15,0.32,0.04,0.22
TYROBP,0,0.17,0,0,0,0,0
TMEM159,3.24,10.76,3.89,24.37,17.38,8.24,25.23
GABRA3,3.81,0.1,0,0.24,0.02,0.11,0.02
BRCA1,29.94,33.61,11.91,15.74,12.62,7.56,38.58
ERCC1,119.54,75.98,20.71,43.16,36.57,19.33,22.7
CD22,6.31,0.14,2.08,0.06,1.73,0.15,2.22
SEMA3B,126.18,2.32,121.38,20.48,67.99,24.67,5.54
MBTPS2,16.75,28.12,8.83,4.17,10.78,14.31,11.24
PRICKLE3,5.72,5.26,2.93,7.73,9.33,5.34,13.49
LTF,0,0,0,0.01,0.07,0.04,0
EXTL3,13.33,9.06,8.46,2.1,3.52,7.72,13.19
NR1H4,0.01,0.11,29.56,0.08,0,0,0.03
ELOVL5,58.04,71,38.99,0.19,209.01,77.33,87.29
ALOX5,0.02,0.09,0.03,12.12,0.07,0.09,11.64
KDM5D,0,8.48,11.14,0.14,0.02,0.03,16.01
CALCOCO1,31.19,14.4,5.63,39.15,14.58,11.67,33.27
UBR7,37.01,20.58,14.13,15.62,38.44,19.48,36.43
MAP4K5,13.12,26.76,14.85,11.21,15.61,23.38,26.73
EHD3,20.43,6.79,0.24,0.01,1.66,1.09,2.27
PSMC4,327.12,246.05,120.48,147.74,270.15,99.25,147.54
MAN2B2,4.09,4.41,5.69,10.7,13.49,3.72,13.74
SLC7A14,0,0.01,0,0,0,0,0
CLDN11,0.06,0.24,4.39,0.38,0.04,28.99,2.17
SLC25A39,67.29,95.82,132.44,146.96,214.21,312.61,168.59
MVP,28.43,47.26,15.61,59.03,14.01,16.91,85.62
NUB1,56.08,40.89,21.96,51.78,23.22,37.36,86.21
PGM3,21.31,25.89,58.79,23.03,34.91,21.71,26.35
RWDD2A,1.6,1.57,4.06,2.07,2.24,1.03,2.21
CLK1,33.33,48.65,44.42,48.78,43.21,48.31,80.42
POLR3B,10.8,6.34,5.2,7.01,5.77,7.8,4.05
ANGEL1,6.75,6.73,10.73,6.51,21.66,6.5,18.56
RNF14,50.2,49.54,8.54,10.2,40.01,21.38,45.83
DNASE1L1,20.91,18.68,4.99,44.63,42.01,23.96,28.21
DDX11,45.09,26.78,15.78,70.53,30.29,20.72,64.05
HEBP1,10.86,34.57,22.58,8.47,60.99,19.4,28.09
GPRC5A,91.44,243.75,0.74,63.2,39.45,72.24,242.92
MAMLD1,2.45,2.01,0.03,0.19,1.93,2.08,3.3
CD6,0,0.07,0,0.28,0.07,0.02,0.76
TACC3,74.03,48.1,34.14,63.74,38.27,41.39,65.97
UFL1,6.67,9.51,10.28,9.45,16.95,6.37,20.84
POLA2,27.83,21.63,9.89,28.95,25.34,22.47,54.96
ZC3H3,6.66,6.05,7.69,7.16,10.64,8.42,13.13
CAPN1,43.23,58.45,44.29,154.49,89.38,97.66,433.88
ACP3,2.9,0,0.15,1.41,1.2,0.52,2.32
MDH1,186.96,226.25,134.04,96.11,128.62,167.51,172.25
SLC30A9,32.32,20.12,15.43,29.27,25.15,12.63,34.14
MTMR11,5.13,6.88,0.53,14.37,6.85,5.12,9.92
COX15,38.67,37.83,18.95,27.58,30.77,10.77,28.56
CCDC88C,0.44,3.92,4.67,15.63,7.96,5.16,46.44
YAF2,15.36,27.2,6,7.72,8.49,7.06,12.41
ZMYND11,23.45,41.4,22.78,28.73,63.2,12.75,33.13
WAS,0.15,0.1,0.08,0.65,0.64,0.25,0.64
DPEP1,0.18,1.5,14.26,28.73,0.35,0,1.5
BID,20.26,41.31,25.33,45.1,26.62,27.05,107.67
MATR3,266.65,236.14,148.46,201.85,136.74,96.41,285.07
NPC1L1,0.08,0.02,9.23,0.1,0.15,0.04,0
XYLT2,16.53,10.82,12.14,9.79,30.5,17.58,20.61
RGPD5,17.22,7.67,20.7,8.08,12.88,6.52,2.44
STMN4,0,0.02,0.02,0.03,0.02,0,0
NUDCD3,36.79,24.01,22.13,32.06,27.65,46.05,56.97
ISL1,3.94,0.03,0.02,4.63,0.03,0.75,0.46
CHDH,0.03,1.14,41.65,11.33,1.64,0.64,1.75
IL20RA,0.03,0.02,0.02,4.51,0.43,1.4,1.66
CLCA1,0.02,0,0.01,0.02,0,0.03,0
CLCA4,0,0,0.01,0.19,0,0,0.01
GLT8D1,57.34,33.45,81.97,23.73,17.25,49.67,36.13
ATP2C1,34.44,40.35,19.13,40.13,19.07,29.68,73.07
IGF1,0.01,0.05,0,0,0,0,0.06
SLC38A5,0.24,0.09,40.09,81.56,0.14,1.25,0.66
RALBP1,20.04,24.28,15.03,43.45,18.1,43.56,50.37
RUFY3,5.66,8.47,8.31,16.89,7.5,9.29,17.07
CNTN1,1.07,62.75,0.01,0.01,0.01,0.09,0.65
SLC11A1,0.05,0.13,0.15,0.28,0.22,0.08,0.51
WWTR1,254.03,53.55,40.14,0.17,5.93,24.28,127.23
AGPS,18.47,28.21,25.99,13.89,0.03,11.86,21.29
ZNF806,0.11,0.01,0,0,0,0,0
STEEP1,20.34,17.37,7.97,17.19,18.61,16.69,15.94
ATP1A2,0.02,0.05,0.86,0,0.02,0.08,0.08
TTC27,14.57,31.08,16.16,10.76,9.22,12.95,11.2
ZNF582,1.25,1.68,0.63,0,0.01,0.01,5.22
VSIG2,0.24,0.02,2.35,77.86,0,0.39,0.54
PHLDB1,45.65,5.77,7.85,85.74,6.84,10.4,82.62
MARCO,0,0.12,0,0,0,0,0
CYP24A1,0.03,391.92,55.94,1.04,3.26,1.14,0.74
PRDM11,2.64,3.31,2.39,0.94,1.11,1.5,4.01
SYT13,0.01,11.46,0.01,4.36,0.79,0.01,11.64
SNAI2,3.3,0.62,0.21,0.04,0.12,13.12,17.52
CD74,1602.8,0.23,86.14,2.59,0.39,0.48,454.38
HGF,0.22,0.12,0.14,0.16,0.04,0.37,0.07
ZRANB1,10.67,8,6.94,8.36,11.74,5.04,15.93
NCDN,37.45,7.72,6.4,21.78,24.28,10.76,11.95
ADGRA2,2.89,0.53,0.15,0.01,0.1,0.21,0.1
CCT8L1P,0.01,0,0,0,0,0,0.02
ZFP64,15.4,10.85,13.94,13.88,13.34,6.25,15.31
MNAT1,32.34,49.99,25.46,26.88,47.84,80.94,65.4
SAMD4A,2.51,3.77,8.72,3.01,0.73,12.92,5.02
RUNX3,15.86,1.76,0.3,0.16,0.05,0.52,5.32
MRE11,23.05,18.33,10.33,27.59,8.96,13.37,38
PLEKHB1,9.6,0.5,72.9,34.46,23.86,2.41,51.69
SERPINB1,19.31,45.55,24.22,135.82,22.78,30.71,48.35
CYP3A43,0.01,0,3.12,0,0,0,0
SLC7A9,0,0.14,3.42,0.1,0.03,0.03,1.33
SPAST,6.36,16.93,7.24,5.73,5.7,4.44,6.28
NRXN3,1.12,0.31,0.01,0.01,6.22,1.84,0.04
OSBPL5,7.05,1.81,0.01,29.34,3.81,6.74,16.51
AQR,19.66,30.67,9.01,22.89,12.81,16.02,19.41
CPS1,5.65,8.06,14.82,0.05,0.52,7.15,0.27
C8B,0,0,10.36,0,0,0,0
FHL1,3.76,12.97,0.06,0.26,1.48,40.68,2.29
RTF2,144.4,93.46,78.65,112.96,168.82,93.73,91.4
GABRA1,0.01,0,0,0,0.01,0,0
NLRP2,1.72,29.85,0.04,0.14,0.04,0.03,38.27
SLC45A4,3.38,9.59,0.02,24.25,8.11,3.56,15.99
RNF10,57.81,102.04,65.23,88.16,92.42,91.2,95.44
ZNF839,6.59,5.94,4.8,3.29,12.16,8.91,12.02
ZDHHC6,26.13,33.45,18.38,37.03,25.9,19.77,56.94
GRAMD1B,37.47,24.27,0.14,35.44,0.79,22.58,3.05
RNH1,84.07,91.42,53.36,124.28,82.96,94.96,113.56
